,JPA_SP,JPA_AM,JTR_TC-II,JTR_GI,JTR_NI
X10090_54,1,1,1,1,1.285714286
X11258_25,NA,NA,1,1,1
X15459_6,1.153846154,1.105886709,1,1,1.285714286
X61696_18,1.409047783,1.618499971,1,1,1
X61696_53,1.22459893,1.198120774,1.311594203,1,1.624148607
X63317_45,1.651218063,1.15888331,NA,NA,NA
X63317_48,1,1.121080627,NA,NA,NA
X63317_51,1.212698413,1.390385495,NA,NA,NA
X63317_56,1.651218063,1.15888331,NA,NA,NA
X63317_63,1.305322129,1.15888331,NA,NA,NA
X63317_66,1.893795094,1.861924888,NA,NA,NA
X63320_67,1.824388209,1.880275277,1.710615471,1.50877193,1.50877193
X63637_40,1,1.203372755,1,1,1
X63637_45,1.142857143,1.195452384,1.166666667,1,1
X63774_38,1.705982906,1.790725141,NA,NA,NA
X63774_56,1.902222222,1.890143291,NA,NA,NA
X64862_10,1,1.283682418,NA,NA,NA
X64862_11,1.624148607,1.178667435,NA,NA,NA
X64862_28,1.2,1.378250044,NA,NA,NA
X64862_48,1.905882353,1.874237903,NA,NA,NA
X65445_37,1.790739711,1.744644596,NA,NA,NA
X65445_41,1.252873563,1.05,NA,NA,NA
X65445_47,1.237903226,1.311786315,NA,NA,NA
X65445_51,1.895856507,1.852897979,NA,NA,NA
X65445_64,1.430589544,1.385575817,NA,NA,NA
X65445_67,1.647246941,1.846140568,NA,NA,NA
X66018_22,1.804542125,1.731892427,1.673957621,1.666666667,1.25
X66018_55,1.84029304,1.746222331,NA,NA,NA
X66792_45,1,1.138961039,NA,NA,NA
X67263_7,1.647246941,1.411480359,1.764705882,1.67032967,1.80861244
X67263_8,1.647246941,1.411480359,1.764705882,1.67032967,1.853588517
X67263_37,1.750250278,1.29221137,1.222222222,1.285714286,1
X67263_47,1,1.105886709,1.405228758,1.285714286,1.337662338
X67424_53,1.822134387,1.757566335,1.822134387,1.45,1.553921569
X67424_59,1,1.047619048,1,1.727472527,1
X67717_27,1.596197267,1.162095372,1.181818182,1,1.368421053
X67717_58,1.893795094,1.874319785,1.885030759,1.903622693,1.913312693
X67717_59,1.893795094,1.874319785,1.885030759,1.903622693,1.913312693
X67717_68,1.651218063,1.270067463,1.47012987,1.181818182,1.368421053
X68217_45,1.47012987,1.391517022,NA,NA,NA
X68217_47,1.337662338,1.368463481,NA,NA,NA
X69572_20,1.872330367,1.784965035,1.581544771,1.368421053,1.581544771
X69572_34,1.705982906,1.451748252,1.717234262,1.624148607,1.885030759
X69572_37,1,1.268564622,1.337662338,1.2,1.673957621
X69572_48,1,1.058823529,1,1,1.337662338
X69572_57,1,1.115013169,1.181818182,1.50877193,1.337662338
X69910_46,1.75995116,1.618499971,1.436758893,1.222222222,1
X69910_52,1.705982906,1.29221137,1.337662338,1.553921569,1.749145591
X69910_55,1.705982906,1.29221137,1.337662338,1.553921569,1.749145591
X69910_59,1.84029304,1.871914885,1.853588517,1.908496732,1.903622693
