,V1,V2
X10090_54,1,1.833333333
X11258_25,NA,1
X15459_6,1.661471861,1.9375
X61696_18,1.999538873,1
X61696_53,1.877914172,1.992909113
X63317_45,1.921261474,NA
X63317_48,1.238095238,NA
X63317_51,1.9763595,NA
X63317_56,1.921261474,NA
X63317_63,1.858829625,NA
X63317_66,1.999999995,NA
X63320_67,2,1.999840597
X63637_40,1.762759412,1
X63637_45,1.829548859,1.517241379
X63774_38,1.99999701,NA
X63774_56,2,NA
X64862_10,1.904748837,NA
X64862_11,1.964809806,NA
X64862_28,1.978885884,NA
X64862_48,2,NA
X65445_37,1.99999747,NA
X65445_41,1.627363389,NA
X65445_47,1.950057334,NA
X65445_51,1.999999996,NA
X65445_64,1.988114883,NA
X65445_67,1.999999804,NA
X66018_22,1.999998188,1.999884038
X66018_55,1.999999463,NA
X66792_45,1,NA
X67263_7,1.997063058,1.999999782
X67263_8,1.997063058,1.999999959
X67263_37,1.995618661,1.6
X67263_47,1.48787062,1.992682512
X67424_53,1.9999986,1.999988135
X67424_59,1.288461538,1.951740637
X67717_27,1.925037019,1.893829401
X67717_58,2,2
X67717_59,2,2
X67717_68,1.978044777,1.978551394
X68217_45,1.990544183,NA
X68217_47,1.98136192,NA
X69572_20,1.999999498,1.999032198
X69572_34,1.999303068,1.999999891
X69572_37,1.85379035,1.997712469
X69572_48,1.3125,1.754237288
X69572_57,1.529605263,1.943800178
X69910_46,1.999927947,1.935537649
X69910_52,1.994162705,1.999840597
X69910_55,1.994162705,1.999840597
X69910_59,2,2
X70646_11,1.739683473,NA
X71855_15,1.988240525,NA
X71855_22,2,NA
X71855_35,1.932582785,NA
X72023_56,1.972047807,NA
X72023_64,1.925037019,NA
X73633_24,NA,1.788961039
X73633_33,NA,1.788961039
X73699_65,1.999999418,1.999992116
X73699_67,1.999999068,1.999973923
X73699_68,1.999999599,1.999992116
X75189_28,1.784068279,NA
X75413_20,1.836097001,1.681818182
X75413_37,1.999999463,1.995577593
X75413_59,1.99696435,1.999617026
X75413_63,2,2
X75757_28,1.994802008,NA
X75757_29,1.999965612,NA
X75757_33,1.994802008,NA
X75757_35,1.994802008,NA
X75757_52,1.990803553,NA
X75917_24,1.964809806,NA
X75917_48,1.911865283,NA
X75917_61,1.897560626,NA
X76245_36,1.999999778,2
X76245_37,1.987672275,1.999992116
X76245_56,1.999997666,1.994788588
X77225_8,1.95683813,NA
X77225_42,1.999999701,NA
X77264_29,1.868414398,NA
X77264_30,1.919590935,NA
X77264_59,1.997692014,NA
X77279_25,1.999999991,2
X77279_26,2,2
X77279_67,1.99998077,1.999748501
X77901_6,1.9999419,NA
X77901_50,1.718385012,NA
X77901_59,1.992673929,NA
X78039_40,1.561044547,1.5
X78039_52,1.956592864,1.994728732
X78039_63,1.997458501,1.999991616
X78039_68,1.997458501,1.999991616
X78149_62,1.987445661,NA
X78149_66,2,NA
X78149_68,1.999999986,NA
X78258_9,1.863589043,NA
X78258_24,1.624375624,NA
X78258_47,1.784068279,1
X78576_10,1.999538873,1.999575078
X78576_13,1.999538873,1.999575078
X78576_14,1.999538873,1.999575078
X78576_20,1.871845752,1.930316742
X78592_14,1.836097001,NA
X78592_39,1.739683473,NA
X78592_64,1.589500861,NA
X80835_56,NA,2
X80835_61,NA,2
X80835_63,NA,2
X80961_14,1.99999513,2
X80961_18,1.99999513,2
X80961_31,1.999999554,1.999998742
X80961_46,1.999999269,1.999905688
X81524_39,2,NA
X81729_14,1.83553644,NA
X81729_36,2,NA
X81775_6,1.999994315,1.999399992
X81775_34,1.999994315,1.999399992
X81861_36,1.999999996,1.625
X81861_60,1.999999996,1.625
X81861_66,1.999999996,NA
X83971_13,2,2
X83971_31,1.925111968,1.5
X83971_59,1.925111968,1.999999396
